ID,開催年,開催日,開催終了日,カテゴリー,コンベンション名,規模,参加者予定数,開催地,開催場所
1,2025,4月3日,4月5日,会議・大会,第144回中部日本整形外科災害外科学会・学術集会　,国際,"1,200 ",福井市,フェニックス・プラザ/福井市体育館/コートヤード・バイ・マリオット/ザ・グランユアーズ フクイ
2,2025,5月14日,5月16日,会議・大会,第73回全国広告連盟福井大会,全国,"1,000 ",福井市,フェニックス・プラザ/ザ・グランユアーズ フクイ/コートヤード・バイ・マリオット福井/
3,2025,5月14日,5月17日,会議・大会,第14回国際法医放射線画像学会（ISFRI2025 14th Congress of Radiology and Imaging),国際,200 ,福井市,福井県国際交流会館/ザ・グランユアーズ フクイ
4,2025,5月21日,5月23日,会議・大会,第50回日本外科系連合学会学術集会,全国,"1,000 ",福井市,フェニックス・プラザ/ハピリンホール・ハピテラス/コートヤード・バイ・マリオット
5,2025,5月22日,5月23日,会議・大会,第63回全国国立大学臨床検査技師会総会及び第25回全国国立大学病院臨床検査技師長会,全国,70 ,福井市,福井市地域交流プラザ
6,2025,5月23日,5月25日,会議・大会,第43回　日本生理心理学会大会,全国,300 ,越前市,仁愛大学
7,2025,5月28日,5月30日,会議・大会,第19回日本分子イメージング学会総会・学術集会,全国,210 ,福井市,福井県県民ホール/福井市地域交流プラザ
8,2025,5月31日,6月1日,会議・大会,小倉百人一首　第57回全国女流選手権大会,全国,350,あわら市,清風荘
9,2025,6月4日,6月5日,会議・大会,第74回全国高等学校定時制通信制教育振興会北信越地区大会福井大会,ブロック,90 ,福井市,福井県繊協ビル/ザ・グランユアーズ フクイ
10,2025,6月5日,6月7日,会議・大会,第64回日本生体医工学会大会,全国,"1,300 ",福井市,フェニックス・プラザ
11,2025,6月9日,6月10日,会議・大会,北陸地区知的障害者福祉協会施設長会議,ブロック,150 ,福井市,福井県県民ホール
12,2025,6月11日,6月14日,会議・大会,"EM-NANO2025
（Organic and Inorganic Electronic Materials and Related Nanotechnologies）",国際,300 ,福井市,福井県県民ホール/福井市地域交流プラザ/ザ・グランユアーズ フクイ/福井県繊協ビル
13,2025,6月12日,6月13日,会議・大会,第50回全日本愛瓢会 展示会・総会,全国,680 ,福井市,ハピリンホール・ハピテラス
14,2025,6月13日,6月14日,会議・大会,2025年度　全国鉄鋼販売業連合会　福井大会,全国,100 ,福井市,コートヤード・バイ・マリオット
15,2025,6月14日,,会議・大会,第17回日本呼吸ケア・リハビリテーション学会北陸支部学術集会,ブロック,100 ,永平寺町,福井大学医学部付属病院
16,2025,6月14日,6月15日,会議・大会,日本メンデル協会第2回大会,全国,70 ,福井市,亀の井ホテル
17,2025,6月18日,6月20日,会議・大会,第18回日本エピジェネティクス研究会年会,国際,400 ,福井市,福井県県民ホール/福井市地域交流プラザ/ウェルアオッサ/福井県繊協ビル
18,2025,6月21日,6月22日,会議・大会,"一般社団法人　全日本瓦工事業連盟　青年部　
令和7年度全国部長会議＆40周年記念式典",全国,130 ,福井市,福井市地域交流プラザ
19,2025,6月21日,6月24日,会議・大会,公益社団法人日本リウマチ友の会　第65回全国大会,全国,260 ,福井市,福井県県民ホール/福井市地域交流プラザ
20,2025,6月28日,6月29日,会議・大会,公益社団法人日本柔道整復師会 第45回北信越学術大会　福井大会,ブロック,360 ,福井市,ザ・グランユアーズ フクイ
